,Booking date,Quantity,Customer ID,Product ID,Channel,Landingpage,Channel_Name,Booking Sequence,Previous Booking date,Previous Product ID,Previous Channel,Previous Channel_Name,Previous Landingpage
414,12.07.2013,1,235,947,4,15,Store,2,07.01.2011,962.0,4.0,Store,7.0
415,06.11.2018,2,236,93,3,3,SEA,1,,,,,
416,09.01.2018,2,236,410,3,3,SEA,2,06.11.2018,93.0,3.0,SEA,3.0
417,15.08.2019,2,236,24,1,1,Affiliate A,3,09.01.2018,410.0,3.0,SEA,3.0
418,24.07.2017,2,237,356,0,0,CRM,1,,,,,
419,26.10.2016,2,237,28,5,18,Affiliate B,2,24.07.2017,356.0,0.0,CRM,0.0
420,14.03.2017,2,238,68,0,0,CRM,1,,,,,
421,28.10.2016,2,238,15,4,6,Store,2,14.03.2017,68.0,0.0,CRM,0.0
422,16.11.2015,4,239,143,3,3,SEA,1,,,,,
423,31.07.2016,2,239,900,0,0,CRM,2,16.11.2015,143.0,3.0,SEA,3.0
424,29.01.2018,4,240,147,3,3,SEA,1,,,,,
425,05.02.2017,2,241,106,4,6,Store,1,,,,,
426,08.01.2018,2,241,243,0,0,CRM,2,05.02.2017,106.0,4.0,Store,6.0
427,10.09.2018,2,241,72,0,0,CRM,3,08.01.2018,243.0,0.0,CRM,0.0
428,14.06.2019,2,241,165,0,0,CRM,4,10.09.2018,72.0,0.0,CRM,0.0
429,02.08.2018,4,242,301,4,7,Store,1,,,,,
430,22.09.2015,2,242,5,4,7,Store,2,02.08.2018,301.0,4.0,Store,7.0
431,25.09.2017,4,242,11,0,0,CRM,3,22.09.2015,5.0,4.0,Store,7.0
432,25.01.2017,2,243,63,0,0,CRM,1,,,,,
433,17.01.2017,3,244,18,3,3,SEA,1,,,,,
434,31.10.2015,2,245,157,2,2,Direct,1,,,,,
435,07.06.2019,2,246,165,0,0,CRM,1,,,,,
436,27.02.2017,2,246,367,0,0,CRM,2,07.06.2019,165.0,0.0,CRM,0.0
437,27.03.2018,2,246,329,0,0,CRM,3,27.02.2017,367.0,0.0,CRM,0.0
